Keyword,Search Volume,CPC,Competition,Number of Results,Trends,Intent,Keyword Difficulty Index,_root
exterminator cost,1000,1.76,0.7,4910000,"0.81,1.00,0.81,0.55,0.36,0.08,0.16,1.00,0.55,0.62,0.45,0.62",1,11,pest control perth
perth pest control,1000,4.37,0.77,5910000,"0.81,0.81,0.55,0.81,0.45,0.81,0.81,1.00,0.45,0.62,0.62,0.62",0,43,pest control perth
pest control service,1000,4,0.12,148,"0.30,0.54,0.41,0.54,0.36,0.54,0.54,0.24,0.66,0.66,0.79,0.79",0,61,pest control perth
pest exterminator cost,1000,1.77,0.68,0,"0.81,1.00,0.81,0.55,0.36,0.08,0.16,1.00,0.55,0.62,0.55,0.62",1,9,pest control perth
termite treatment perth,1000,5.92,0.9,273000,"0.45,0.45,0.62,0.55,0.45,0.81,0.81,0.81,0.81,1.00,0.81,1.00",0,40,pest control perth
tom's pest control,1000,3.76,0.55,555000,"1.00,1.00,1.00,0.67,0.55,0.55,0.55,0.45,0.67,0.76,0.76,0.76",0,62,pest control perth
residential pest control,880,3.54,0.61,135,"0.07,0.13,0.08,0.11,0.16,1.00,1.00,1.00,0.52,0.46,0.68,0.84",0,45,pest control perth
termico,880,3.33,0.21,149000000,"0.62,0.62,0.55,0.55,0.45,0.55,0.45,0.55,0.62,0.62,0.45,0.62","2,0",22,pest control perth
exterminator perth,720,4.37,0.77,183000,"0.36,0.81,0.62,0.36,0.30,0.45,0.36,0.20,0.36,0.62,0.24,0.13",0,58,pest control perth
exterminator service near me,720,4.44,0.34,131,"0.84,0.84,1.00,0.46,0.31,0.02,0.02,0.02,0.03,0.04,0.01,0.01",3,39,pest control perth
how much does a pest exterminator cost,720,1.48,0.59,0,"0.68,0.68,0.68,0.31,0.11,0.05,0.07,1.00,0.11,0.07,0.13,0.20",1,8,pest control perth
termites,14800,2.11,0.08,76500000,"0.54,0.66,0.81,0.54,0.66,0.36,0.54,0.44,0.66,0.81,0.66,0.81",1,55,termite perth
exterminators close to me,6600,4.32,0.72,110,"0.13,0.03,0.29,0.66,0.44,0.00,0.08,1.00,0.54,0.54,0.44,0.54",0,44,termite perth
termite treatment,5400,3.83,1,205,"0.35,0.44,0.44,0.54,0.44,0.81,0.81,0.81,1.00,1.00,1.00,1.00",0,40,termite perth
insect control perth,2900,3.6,0.81,9440000,"0.43,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,39,termite perth
pest control perth,2900,3.6,0.81,108,"0.81,0.65,0.65,0.54,0.54,0.54,0.54,0.65,0.65,1.00,1.00,1.00",0,50,termite perth
pest exterminator perth,2900,3.6,0.81,46800,"0.01,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,54,termite perth
pest fumigation perth,2900,3.6,0.81,105000,"0.43,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,46,termite perth
termite control,2400,4.07,0.25,22800000,"0.27,0.36,0.27,0.52,0.20,0.80,1.00,1.00,1.00,1.00,1.00,1.00",1,53,termite perth
pest spray perth,1900,3.6,0.81,1360000,"0.04,1.00,0.03,1.00,0.54,0.04,0.36,0.03,0.03,0.54,0.81,0.65",0,52,termite perth
rodent control perth,1300,3.6,0.81,730000,"0.36,0.43,0.36,0.43,0.08,0.22,0.20,0.20,0.20,0.16,0.16,0.20",0,26,termite perth
perth pest control,1000,4.37,0.77,5910000,"0.81,0.81,0.55,0.81,0.45,0.81,0.81,1.00,0.45,0.62,0.62,0.62",0,43,termite perth
pest control and termite control,1000,5.03,0.77,32100000,"0.54,0.54,0.41,0.41,0.30,0.05,0.24,1.00,0.41,0.20,0.24,0.24",0,32,termite perth
termite treatment perth,1000,5.92,0.9,273000,"0.45,0.45,0.62,0.55,0.45,0.81,0.81,0.81,0.81,1.00,0.81,1.00",0,40,termite perth
termico,880,3.33,0.21,149000000,"0.62,0.62,0.55,0.55,0.45,0.55,0.45,0.55,0.62,0.62,0.45,0.62","2,0",22,termite perth
exterminator perth,720,4.37,0.77,183000,"0.36,0.81,0.62,0.36,0.30,0.45,0.36,0.20,0.36,0.62,0.24,0.13",0,58,termite perth
exterminator service near me,720,4.44,0.34,131,"0.84,0.84,1.00,0.46,0.31,0.02,0.02,0.02,0.03,0.04,0.01,0.01",3,39,termite perth
pest control in perth,720,3.6,0.81,127,"0.52,0.46,1.00,0.52,0.08,0.16,0.16,0.31,0.13,0.13,0.13,0.52",0,55,termite perth
pest services perth,720,3.6,0.81,7520000,"0.04,0.08,0.08,0.03,0.07,0.01,0.44,0.03,0.07,0.66,1.00,0.80",0,46,termite perth
termites in home,720,1.76,0.11,11200000,"0.55,0.24,0.62,0.30,0.30,0.30,0.36,0.30,0.36,0.30,0.45,0.36","1,3",24,termite perth
termites in house,720,1.76,0.11,33100000,"0.36,0.54,0.30,0.36,0.16,0.20,0.20,0.20,0.24,0.41,0.24,0.24",1,35,termite perth
perth rodent control,590,3.6,0.81,241,"0.16,0.54,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,16,termite perth
ant control perth,480,4.23,0.57,1630000,"0.36,0.54,0.54,0.29,0.23,1.00,1.00,1.00,1.00,1.00,1.00,1.00",1,14,termite perth
pest control bayswater,480,6.1,0.68,0,"0.21,0.17,0.21,0.11,0.09,0.59,0.72,0.72,0.88,1.00,1.00,1.00",1,7,termite perth
pest control perth wa,480,3.6,0.81,127,"0.16,0.34,0.08,0.16,0.11,0.24,0.16,0.11,0.13,0.08,0.11,0.08",0,43,termite perth
pest removal perth,480,3.6,0.81,1400000,"0.34,0.44,0.13,0.13,0.30,0.08,0.11,0.05,0.07,0.11,0.08,0.07",0,51,termite perth
termite inspection perth,480,6.2,0.72,257000,"0.29,0.29,0.29,0.36,0.23,0.81,1.00,1.00,1.00,1.00,1.00,1.00",0,32,termite perth
affordable pest control,390,2.47,0.53,177,"0.54,0.66,0.54,0.54,0.44,1.00,0.81,0.66,0.81,0.66,0.54,0.81",0,29,termite perth
cockroach control perth,390,3.78,0.22,172,"0.23,0.19,0.15,0.23,0.19,0.81,0.81,0.81,1.00,1.00,0.81,1.00",1,12,termite perth
commercial pest control perth,390,3.56,0.35,111,"0.06,0.09,0.06,0.15,0.12,1.00,0.81,0.81,1.00,1.00,0.81,0.66",1,30,termite perth
pest control joondalup,390,4.17,0.72,137000,"0.54,0.44,0.35,0.44,0.23,0.81,0.81,0.81,1.00,1.00,1.00,1.00",0,15,termite perth
pest control near me,12100,4.32,0.72,183000000,"1.00,1.00,0.81,0.81,0.81,0.54,0.44,0.54,0.54,0.66,0.66,0.66","1,3",44,termite treatment perth
exterminators close to me,6600,4.32,0.72,110,"0.13,0.03,0.29,0.66,0.44,0.00,0.08,1.00,0.54,0.54,0.44,0.54",0,44,termite treatment perth
termite treatment,5400,3.83,1,205,"0.35,0.44,0.44,0.54,0.44,0.81,0.81,0.81,1.00,1.00,1.00,1.00",0,40,termite treatment perth
insect control perth,2900,3.6,0.81,9440000,"0.43,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,39,termite treatment perth
pest control perth,2900,3.6,0.81,108,"0.81,0.65,0.65,0.54,0.54,0.54,0.54,0.65,0.65,1.00,1.00,1.00",0,50,termite treatment perth
pest exterminator perth,2900,3.6,0.81,46800,"0.01,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,54,termite treatment perth
pest fumigation perth,2900,3.6,0.81,105000,"0.43,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,46,termite treatment perth
termite control,2400,4.07,0.25,22800000,"0.27,0.36,0.27,0.52,0.20,0.80,1.00,1.00,1.00,1.00,1.00,1.00",1,53,termite treatment perth
pest spray perth,1900,3.6,0.81,1360000,"0.04,1.00,0.03,1.00,0.54,0.04,0.36,0.03,0.03,0.54,0.81,0.65",0,52,termite treatment perth
how much does pest control cost,1300,1.48,0.59,125,"0.52,0.52,0.52,0.25,0.11,0.68,0.68,0.84,1.00,1.00,1.00,1.00",1,8,termite treatment perth
rodent control perth,1300,3.6,0.81,730000,"0.36,0.43,0.36,0.43,0.08,0.22,0.20,0.20,0.20,0.16,0.16,0.20",0,26,termite treatment perth
termite pest control,1300,5.03,0.77,12200000,"0.36,0.36,0.36,0.41,0.30,0.79,1.00,1.00,0.79,0.79,0.54,0.79",0,45,termite treatment perth
exterminator cost,1000,1.76,0.7,4910000,"0.81,1.00,0.81,0.55,0.36,0.08,0.16,1.00,0.55,0.62,0.45,0.62",1,11,termite treatment perth
perth pest control,1000,4.37,0.77,5910000,"0.81,0.81,0.55,0.81,0.45,0.81,0.81,1.00,0.45,0.62,0.62,0.62",0,43,termite treatment perth
pest control and termite control,1000,5.03,0.77,32100000,"0.54,0.54,0.41,0.41,0.30,0.05,0.24,1.00,0.41,0.20,0.24,0.24",0,32,termite treatment perth
pest exterminator cost,1000,1.77,0.68,0,"0.81,1.00,0.81,0.55,0.36,0.08,0.16,1.00,0.55,0.62,0.55,0.62",1,9,termite treatment perth
termico,880,3.33,0.21,149000000,"0.62,0.62,0.55,0.55,0.45,0.55,0.45,0.55,0.62,0.62,0.45,0.62","2,0",22,termite treatment perth
exterminator perth,720,4.37,0.77,183000,"0.36,0.81,0.62,0.36,0.30,0.45,0.36,0.20,0.36,0.62,0.24,0.13",0,58,termite treatment perth
exterminator service near me,720,4.44,0.34,131,"0.84,0.84,1.00,0.46,0.31,0.02,0.02,0.02,0.03,0.04,0.01,0.01",3,39,termite treatment perth
how much does a pest exterminator cost,720,1.48,0.59,0,"0.68,0.68,0.68,0.31,0.11,0.05,0.07,1.00,0.11,0.07,0.13,0.20",1,8,termite treatment perth
how much does an exterminator charge,720,1.48,0.59,0,"0.54,0.54,0.54,0.24,0.08,0.04,0.05,1.00,0.16,0.08,0.10,0.16",1,6,termite treatment perth
pest control cost,720,1.77,0.68,0,"0.88,0.59,0.48,0.32,0.26,0.88,0.88,0.72,0.88,1.00,1.00,0.88",1,15,termite treatment perth
pest control in perth,720,3.6,0.81,127,"0.52,0.46,1.00,0.52,0.08,0.16,0.16,0.31,0.13,0.13,0.13,0.52",0,55,termite treatment perth
pest control prices,720,1.77,0.68,0,"0.08,0.45,0.36,0.36,0.16,0.55,0.55,0.45,0.67,0.76,0.55,0.55",2,6,termite treatment perth
pest control services near me,720,4.61,0.34,120000000,"0.62,0.13,0.62,0.30,0.08,0.30,0.30,0.45,0.55,0.45,0.55,0.62",3,21,termite treatment perth
pest services perth,720,3.6,0.81,7520000,"0.04,0.08,0.08,0.03,0.07,0.01,0.44,0.03,0.07,0.66,1.00,0.80",0,46,termite treatment perth
safe pest control,720,2.38,0.69,124000000,"0.54,0.66,0.41,0.24,0.36,0.08,0.08,0.10,0.13,0.08,0.07,0.08",2,65,termite treatment perth
termite cost to treat,720,2.24,0.5,2530000,"1.00,0.11,0.34,0.30,0.16,0.03,0.08,0.34,0.16,0.24,0.30,0.34",1,11,termite treatment perth
termite treatment cost,720,2.24,0.5,5540000,"1.00,0.31,0.31,0.31,0.25,0.37,0.31,0.37,0.31,0.31,0.31,0.37","1,0",8,termite treatment perth
local pest control,590,5.24,0.78,121000000,"0.30,0.30,0.55,0.16,0.20,0.55,0.45,0.45,0.36,0.45,0.36,0.55",1,34,termite treatment perth
insect control perth,2900,3.6,0.81,9440000,"0.43,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,39,termite inspection perth
pest control perth,2900,3.6,0.81,108,"0.81,0.65,0.65,0.54,0.54,0.54,0.54,0.65,0.65,1.00,1.00,1.00",0,50,termite inspection perth
pest exterminator perth,2900,3.6,0.81,46800,"0.01,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,54,termite inspection perth
pest fumigation perth,2900,3.6,0.81,105000,"0.43,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,46,termite inspection perth
termite control,2400,4.07,0.25,22800000,"0.27,0.36,0.27,0.52,0.20,0.80,1.00,1.00,1.00,1.00,1.00,1.00",1,53,termite inspection perth
pest spray perth,1900,3.6,0.81,1360000,"0.04,1.00,0.03,1.00,0.54,0.04,0.36,0.03,0.03,0.54,0.81,0.65",0,52,termite inspection perth
rodent control perth,1300,3.6,0.81,730000,"0.36,0.43,0.36,0.43,0.08,0.22,0.20,0.20,0.20,0.16,0.16,0.20",0,26,termite inspection perth
termite pest control,1300,5.03,0.77,12200000,"0.36,0.36,0.36,0.41,0.30,0.79,1.00,1.00,0.79,0.79,0.54,0.79",0,45,termite inspection perth
perth pest control,1000,4.37,0.77,5910000,"0.81,0.81,0.55,0.81,0.45,0.81,0.81,1.00,0.45,0.62,0.62,0.62",0,43,termite inspection perth
pest control and termite control,1000,5.03,0.77,32100000,"0.54,0.54,0.41,0.41,0.30,0.05,0.24,1.00,0.41,0.20,0.24,0.24",0,32,termite inspection perth
termite treatment perth,1000,5.92,0.9,273000,"0.45,0.45,0.62,0.55,0.45,0.81,0.81,0.81,0.81,1.00,0.81,1.00",0,40,termite inspection perth
termico,880,3.33,0.21,149000000,"0.62,0.62,0.55,0.55,0.45,0.55,0.45,0.55,0.62,0.62,0.45,0.62","2,0",22,termite inspection perth
exterminator perth,720,4.37,0.77,183000,"0.36,0.81,0.62,0.36,0.30,0.45,0.36,0.20,0.36,0.62,0.24,0.13",0,58,termite inspection perth
exterminator service near me,720,4.44,0.34,131,"0.84,0.84,1.00,0.46,0.31,0.02,0.02,0.02,0.03,0.04,0.01,0.01",3,39,termite inspection perth
pest control in perth,720,3.6,0.81,127,"0.52,0.46,1.00,0.52,0.08,0.16,0.16,0.31,0.13,0.13,0.13,0.52",0,55,termite inspection perth
pest services perth,720,3.6,0.81,7520000,"0.04,0.08,0.08,0.03,0.07,0.01,0.44,0.03,0.07,0.66,1.00,0.80",0,46,termite inspection perth
building and pest inspection near me,590,5.37,0.5,178,"0.59,1.00,0.39,0.59,0.39,0.59,0.72,0.72,0.72,0.72,0.59,0.48",3,48,termite inspection perth
local pest control,590,5.24,0.78,121000000,"0.30,0.30,0.55,0.16,0.20,0.55,0.45,0.45,0.36,0.45,0.36,0.55",1,34,termite inspection perth
perth rodent control,590,3.6,0.81,241,"0.16,0.54,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,16,termite inspection perth
building inspection perth,480,6.82,0.74,0,"0.29,0.36,0.36,0.36,0.29,0.67,0.81,0.81,0.54,0.67,0.54,0.67",0,50,termite inspection perth
pest control perth wa,480,3.6,0.81,127,"0.16,0.34,0.08,0.16,0.11,0.24,0.16,0.11,0.13,0.08,0.11,0.08",0,43,termite inspection perth
pest exterminator,480,3.95,0.73,14100000,"0.81,0.44,0.23,0.36,0.23,0.81,1.00,0.67,0.81,0.81,0.54,0.54",0,54,termite inspection perth
pest removal perth,480,3.6,0.81,1400000,"0.34,0.44,0.13,0.13,0.30,0.08,0.11,0.05,0.07,0.11,0.08,0.07",0,51,termite inspection perth
termite inspection cost,480,2.46,0.36,4590000,"0.54,0.81,0.66,0.66,0.35,0.81,1.00,1.00,1.00,1.00,0.81,1.00","1,0",8,termite inspection perth
affordable pest control,390,2.47,0.53,177,"0.54,0.66,0.54,0.54,0.44,1.00,0.81,0.66,0.81,0.66,0.54,0.81",0,29,termite inspection perth
commercial pest control perth,390,3.56,0.35,111,"0.06,0.09,0.06,0.15,0.12,1.00,0.81,0.81,1.00,1.00,0.81,0.66",1,30,termite inspection perth
pest control armadale,390,3.84,0.8,178000,"0.13,0.16,0.16,0.06,0.05,0.30,0.30,0.36,0.45,0.36,0.55,0.55",0,6,termite inspection perth
pest control rockingham,390,3.36,0.92,557000,"0.66,0.66,0.44,0.35,0.35,0.81,0.81,0.81,0.81,1.00,1.00,1.00",0,16,termite inspection perth
pest controllers,390,3.81,0.71,178,"0.48,0.11,1.00,0.09,0.26,0.21,0.39,0.26,0.32,0.32,0.39,0.48",0,59,termite inspection perth
rentokil perth,390,1.83,0.5,30800,"0.44,0.66,0.54,0.66,0.54,0.66,0.66,0.66,0.54,0.66,1.00,1.00",2,43,termite inspection perth
ant from ants,6600,0.7,0.04,32800000,"0.24,0.13,0.44,0.54,0.29,0.00,0.04,1.00,0.54,0.44,0.44,0.44",1,29,ant control perth
exterminators close to me,6600,4.32,0.72,110,"0.13,0.03,0.29,0.66,0.44,0.00,0.08,1.00,0.54,0.54,0.44,0.54",0,44,ant control perth
pest control and,6600,3.81,0.71,255000000,"0.16,0.03,0.29,0.54,0.00,0.00,0.04,1.00,0.54,0.44,0.66,0.54","1,0",27,ant control perth
how to get rid of ants,4400,0.61,0.71,161,"1.00,1.00,0.54,0.35,0.23,0.29,0.29,0.29,0.35,0.35,0.54,1.00",1,18,ant control perth
ant killer,2900,1.29,1,60400000,"1.00,1.00,0.66,0.35,0.29,0.29,0.29,0.35,0.44,0.53,0.53,0.81","1,0",19,ant control perth
household ways to get rid of ants,2900,0.61,0.71,31400000,"0.44,1.00,0.66,0.44,0.29,0.01,0.19,0.29,0.23,0.29,0.35,0.66",1,25,ant control perth
how do we get rid of ants,2900,0.61,0.71,108,"0.44,1.00,0.66,0.44,0.29,0.01,0.19,0.29,0.29,0.29,0.35,0.66",1,26,ant control perth
insect control perth,2900,3.6,0.81,9440000,"0.43,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,39,ant control perth
pest control perth,2900,3.6,0.81,108,"0.81,0.65,0.65,0.54,0.54,0.54,0.54,0.65,0.65,1.00,1.00,1.00",0,50,ant control perth
pest exterminator perth,2900,3.6,0.81,46800,"0.01,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,54,ant control perth
pest fumigation perth,2900,3.6,0.81,105000,"0.43,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,46,ant control perth
ant kills ant,2400,1.29,1,250000000,"0.43,1.00,0.81,0.43,0.20,0.07,0.22,0.29,0.43,0.54,0.43,0.81",1,24,ant control perth
pest,1900,3,0.21,134,"0.10,0.19,0.13,0.13,0.13,0.13,0.10,0.08,0.10,0.10,0.07,1.00",1,50,ant control perth
pest control services,1900,4,0.12,140,"0.44,0.13,0.10,0.13,0.24,0.53,0.44,0.44,0.35,0.44,0.44,0.66",1,58,ant control perth
pest spray perth,1900,3.6,0.81,1360000,"0.04,1.00,0.03,1.00,0.54,0.04,0.36,0.03,0.03,0.54,0.81,0.65",0,52,ant control perth
ant pest control,1600,3.49,0.88,20000000,"0.41,0.66,0.54,0.54,0.20,0.79,0.79,0.79,1.00,0.79,0.79,1.00","1,0",26,ant control perth
w.ant,1600,0,0,7270000000,"0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.81,1.00,0.81,1.00",1,26,ant control perth
how can we get rid of ants,1300,0.61,0.71,39300000,"0.03,0.05,0.04,0.66,0.44,0.02,0.29,0.44,0.01,0.44,0.53,1.00",1,18,ant control perth
how much does pest control cost,1300,1.48,0.59,125,"0.52,0.52,0.52,0.25,0.11,0.68,0.68,0.84,1.00,1.00,1.00,1.00",1,8,ant control perth
rodent control perth,1300,3.6,0.81,730000,"0.36,0.43,0.36,0.43,0.08,0.22,0.20,0.20,0.20,0.16,0.16,0.20",0,26,ant control perth
ant prevention natural,1000,0.26,0.33,34300000,"0.66,0.66,0.41,0.30,0.24,0.05,0.16,0.24,0.41,0.54,0.66,1.00",1,39,ant control perth
ant spray,1000,1.32,1,249000000,"1.00,1.00,0.62,0.45,0.30,0.36,0.45,0.45,0.55,0.62,0.81,1.00","1,0",10,ant control perth
exterminator cost,1000,1.76,0.7,4910000,"0.81,1.00,0.81,0.55,0.36,0.08,0.16,1.00,0.55,0.62,0.45,0.62",1,11,ant control perth
natural ant repellent,1000,0.06,0.26,56900000,"1.00,0.68,0.46,0.31,0.31,0.31,0.31,0.31,0.46,0.52,0.46,0.68",1,25,ant control perth
natural bug spray for ants,1000,0.26,0.33,180,"0.66,0.66,0.41,0.30,0.24,0.05,0.16,0.24,0.41,0.54,0.66,1.00",1,15,ant control perth
perth pest control,1000,4.37,0.77,5910000,"0.81,0.81,0.55,0.81,0.45,0.81,0.81,1.00,0.45,0.62,0.62,0.62",0,43,ant control perth
pest control service,1000,4,0.12,148,"0.30,0.54,0.41,0.54,0.36,0.54,0.54,0.24,0.66,0.66,0.79,0.79",0,61,ant control perth
pest exterminator cost,1000,1.77,0.68,0,"0.81,1.00,0.81,0.55,0.36,0.08,0.16,1.00,0.55,0.62,0.55,0.62",1,9,ant control perth
termite treatment perth,1000,5.92,0.9,273000,"0.45,0.45,0.62,0.55,0.45,0.81,0.81,0.81,0.81,1.00,0.81,1.00",0,40,ant control perth
get rid of ants,880,0.72,1,187,"0.81,0.62,1.00,0.24,0.24,0.45,0.45,0.45,0.36,0.55,0.62,0.81",1,24,ant control perth
exterminators close to me,6600,4.32,0.72,110,"0.13,0.03,0.29,0.66,0.44,0.00,0.08,1.00,0.54,0.54,0.44,0.54",0,44,rat control perth
insect control perth,2900,3.6,0.81,9440000,"0.43,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,39,rat control perth
pest control perth,2900,3.6,0.81,108,"0.81,0.65,0.65,0.54,0.54,0.54,0.54,0.65,0.65,1.00,1.00,1.00",0,50,rat control perth
pest exterminator perth,2900,3.6,0.81,46800,"0.01,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81,0.65",0,54,rat control perth
rodent control,1900,3.72,0.89,58200000,"0.34,0.55,0.55,0.82,0.55,1.00,1.00,0.82,0.65,0.65,0.65,1.00",1,31,rat control perth
flick it over,1300,4.36,0.04,82700000,"0.76,1.00,0.76,1.00,1.00,1.00,1.00,1.00,1.00,0.76,0.76,1.00",2,23,rat control perth
rodent control perth,1300,3.6,0.81,730000,"0.36,0.43,0.36,0.43,0.08,0.22,0.20,0.20,0.20,0.16,0.16,0.20",0,26,rat control perth
rodent pest control,1300,3.72,0.89,26800000,"0.25,0.31,0.37,0.52,1.00,1.00,0.68,0.84,0.52,0.68,0.68,0.84",1,33,rat control perth
how to get rid from rats,1000,0.6,1,94600000,"0.62,0.81,1.00,0.81,0.45,0.55,0.30,0.81,0.36,0.45,0.55,0.55",1,41,rat control perth
rat control,1000,3.12,0.91,410000000,"0.20,0.25,0.68,0.46,0.37,0.84,0.84,0.68,0.68,0.84,0.52,1.00",1,36,rat control perth
termite treatment perth,1000,5.92,0.9,273000,"0.45,0.45,0.62,0.55,0.45,0.81,0.81,0.81,0.81,1.00,0.81,1.00",0,40,rat control perth
how can you get rid of rats,880,0.6,1,64200000,"1.00,1.00,1.00,1.00,0.76,0.13,0.30,0.76,0.36,0.55,0.67,0.76",1,21,rat control perth
rat pest control,880,3.32,0.78,31800000,"0.36,0.45,1.00,0.67,0.45,0.76,0.76,0.76,0.76,0.55,0.45,1.00",0,27,rat control perth
exterminator perth,720,4.37,0.77,183000,"0.36,0.81,0.62,0.36,0.30,0.45,0.36,0.20,0.36,0.62,0.24,0.13",0,58,rat control perth
pest control in perth,720,3.6,0.81,127,"0.52,0.46,1.00,0.52,0.08,0.16,0.16,0.31,0.13,0.13,0.13,0.52",0,55,rat control perth
pest control services near me,720,4.61,0.34,120000000,"0.62,0.13,0.62,0.30,0.08,0.30,0.30,0.45,0.55,0.45,0.55,0.62",3,21,rat control perth
pest services perth,720,3.6,0.81,7520000,"0.04,0.08,0.08,0.03,0.07,0.01,0.44,0.03,0.07,0.66,1.00,0.80",0,46,rat control perth
rat exterminator,720,3.89,0.8,2590000,"0.30,0.36,0.45,0.55,0.20,1.00,1.00,1.00,0.45,0.55,0.55,1.00",0,23,rat control perth
rat pest removal,720,3.32,0.78,9980000,"0.24,0.20,1.00,0.81,0.45,0.08,0.24,0.55,0.30,0.30,0.55,0.81",0,26,rat control perth
safe pest control,720,2.38,0.69,124000000,"0.54,0.66,0.41,0.24,0.36,0.08,0.08,0.10,0.13,0.08,0.07,0.08",2,65,rat control perth
exterminator rat,590,3.32,0.78,3400000,"0.24,0.20,1.00,0.81,0.45,0.08,0.24,0.24,0.24,0.10,0.20,0.00",0,41,rat control perth
perth rodent control,590,3.6,0.81,241,"0.16,0.54,0.29,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,16,rat control perth
rat and rodent control,590,3.12,0.91,56700000,"0.13,0.11,1.00,0.68,0.37,0.25,0.20,0.31,0.13,0.16,0.20,0.31",0,24,rat control perth
