Keyword,Position,Search Volume,CPC,Competition,Traffic (%),Traffic Cost (%),Url,Trends,Intents,Keyword Difficulty,_competitor
exterminators near me,2,260,4.81,0.82,0.96,1.49,https://www.jimspestcontrol.com.au/,"0.05,0.21,0.48,1.00,0.21,0.26,0.21,0.14,0.14,0.17,0.14,0.11",3,33.00,jimspestcontrol.com.au
pest fumigation end of lease,1,140,3.70,0.69,0.82,0.97,https://www.jimspestcontrol.com.au/end-of-lease-flea-treatment,"0.15,0.43,0.28,0.21,0.65,1.00,0.34,0.43,0.43,0.81,0.34,0.43",1,7.00,jimspestcontrol.com.au
wasp control near me,2,390,4.55,0.96,0.78,1.13,https://www.jimspestcontrol.com.au/pest-control-wasp-removal,"0.81,0.44,0.44,0.19,0.10,0.05,0.15,0.12,1.00,0.81,0.67,0.10","1,3",9.00,jimspestcontrol.com.au
general pest inspection,2,210,3.33,0.64,0.78,0.82,https://www.jimspestcontrol.com.au/,"0.04,0.04,0.04,0.04,0.04,0.04,0.81,1.00,1.00,0.81,1.00,1.00","0,1",11.00,jimspestcontrol.com.au
termite and pest control,3,480,4.36,0.67,0.73,1.01,https://www.jimspestcontrol.com.au/,"0.67,0.54,0.54,0.54,0.54,1.00,0.54,0.67,0.44,0.67,0.44,0.36",0,47.00,jimspestcontrol.com.au
rat exterminator near me,3,390,3.94,0.88,0.59,0.75,https://www.jimspestcontrol.com.au/,"0.59,0.39,0.26,0.39,0.32,0.32,0.26,0.32,1.00,0.39,0.26,0.17",3,29.00,jimspestcontrol.com.au
fumigation end of lease,2,170,2.97,0.64,0.59,0.56,https://www.jimspestcontrol.com.au/end-of-lease-flea-treatment,"0.10,0.10,0.07,0.28,0.28,0.05,0.82,0.66,0.82,0.82,1.00,0.66",1,2.00,jimspestcontrol.com.au
local pest termite control near me,4,390,0.00,0.00,0.50,0.00,https://www.jimspestcontrol.com.au/,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00",3,42.00,jimspestcontrol.com.au
cheap bug exterminator,1,170,3.25,0.82,0.50,0.51,https://www.jimspestcontrol.com.au/,"0.80,0.80,0.65,0.80,0.80,0.53,0.42,0.42,0.80,0.42,0.65,0.65",0,33.00,jimspestcontrol.com.au
pest fumigation near me,10,3600,4.32,0.72,0.46,0.63,https://www.jimspestcontrol.com.au/,"0.15,0.02,0.05,0.44,1.00,0.02,0.00,0.13,0.00,0.05,0.81,0.66",3,57.00,jimspestcontrol.com.au
jims pest,1,40,2.65,0.51,0.41,0.33,https://www.jimspestcontrol.com.au/,"0.08,0.06,0.08,0.05,0.05,0.03,0.05,0.05,0.03,0.06,0.11,0.08",0,28.00,jimspestcontrol.com.au
insect control company,4,320,3.93,0.34,0.41,0.51,https://www.jimspestcontrol.com.au/,"0.44,0.66,0.54,0.66,0.54,0.44,0.18,0.28,1.00,0.81,0.54,0.44",0,61.00,jimspestcontrol.com.au
bee removal schofields,4,210,0.00,0.00,0.41,0.00,https://www.jimspestcontrol.com.au/bee-pest-control,"1.00,1.00,0.80,0.65,0.53,0.53",0,6.00,jimspestcontrol.com.au
pest control hornsby,9,720,4.47,0.79,0.41,0.59,https://www.jimspestcontrol.com.au/pest-control-hornsby,"0.24,0.30,0.20,0.20,0.16,0.13,0.76,0.76,0.76,1.00,1.00,0.76",0,14.00,jimspestcontrol.com.au
spider and pest control,5,320,3.04,0.73,0.32,0.31,https://www.jimspestcontrol.com.au/spider-pest-control,"1.00,0.24,0.67,0.01,0.08,0.00,0.13,0.10,0.10,0.10,0.10,0.13",0,17.00,jimspestcontrol.com.au
pest exterminator near me,3,320,4.32,0.72,0.32,0.44,https://www.jimspestcontrol.com.au/,"0.45,0.16,0.30,0.55,0.24,0.13,0.10,0.16,0.20,0.16,0.16,0.67",3,21.00,jimspestcontrol.com.au
commercial bed bug removal,5,210,0.00,0.12,0.32,0.00,https://www.jimspestcontrol.com.au/bed-bug-pest-control,"0.06,0.04,0.04,0.04,0.04,0.04,0.81,0.81,0.81,1.00,1.00,0.66","0,1",16.00,jimspestcontrol.com.au
flea and pest control,3,210,3.40,0.85,0.32,0.33,https://www.jimspestcontrol.com.au/flea-pest-control,"0.66,0.43,0.54,0.54,0.81,0.35,0.29,0.22,0.66,0.35,0.29,0.43",0,9.00,jimspestcontrol.com.au
pest control burwood,9,480,4.51,0.55,0.27,0.39,https://www.jimspestcontrol.com.au/pest-control-burwood,"0.15,0.23,0.19,0.23,0.12,0.12,0.81,0.81,0.81,1.00,1.00,0.81",0,8.00,jimspestcontrol.com.au
pet fumigation end of lease,3,140,3.12,0.86,0.27,0.26,https://www.jimspestcontrol.com.au/end-of-lease-flea-treatment,"0.66,0.80,0.52,0.33,0.52,0.52,0.80,1.00,0.80,0.66,1.00,0.80",1,5.00,jimspestcontrol.com.au
general pest control near me,1,50,2.66,0.07,0.27,0.22,https://www.jimspestcontrol.com.au/,"1.00,1.00,0.45,0.18,0.18,0.18,0.18,0.09,0.18,0.27,0.36,1.00","1,3",40.00,jimspestcontrol.com.au
termite control services,3,210,9.23,0.09,0.27,0.81,https://www.jimspestcontrol.com.au/,"0.02,0.02,0.04,0.05,0.04,0.04,0.81,1.00,0.66,0.44,0.19,0.19",0,48.00,jimspestcontrol.com.au
mouse exterminator near me,8,480,4.36,0.96,0.27,0.38,https://www.jimspestcontrol.com.au/,"0.30,0.30,0.20,0.16,0.16,0.10,0.13,0.10,1.00,0.76,0.76,0.08",3,25.00,jimspestcontrol.com.au
bed bug extermination services,2,170,2.90,0.44,0.23,0.20,https://www.jimspestcontrol.com.au/bed-bug-pest-control,"0.17,0.28,0.35,0.43,0.28,0.12,0.23,0.28,1.00,0.53,0.66,0.66",0,23.00,jimspestcontrol.com.au
pest control latham,3,70,0.00,0.00,0.23,0.00,https://www.jimspestcontrol.com.au/pest-control-australian-capital-territory,"0.11,0.64,0.64,0.11,0.11,0.00,0.52,0.41,1.00,0.52,0.52,0.52",1,6.00,jimspestcontrol.com.au
exterminator roach,3,170,3.29,0.56,0.23,0.23,https://www.jimspestcontrol.com.au/cockroach-pest-control,"0.05,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",0,20.00,jimspestcontrol.com.au
roach pest control near me,1,90,3.73,0.89,0.23,0.26,https://www.jimspestcontrol.com.au/,"0.23,0.43,0.02,0.23,0.05,0.10,0.12,0.12,1.00,0.17,0.17,0.17",3,43.00,jimspestcontrol.com.au
end of lease flea control,3,210,3.77,0.80,0.23,0.26,https://www.jimspestcontrol.com.au/end-of-lease-flea-treatment,"0.65,0.65,0.34,0.81,0.81,0.81,0.53,0.53,1.00,0.43,0.65,0.43",1,2.00,jimspestcontrol.com.au
pest exterminator perth,20,2900,3.60,0.81,0.18,0.20,https://www.jimspestcontrol.com.au/,"1.00,0.01,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81",0,54.00,jimspestcontrol.com.au
spider pest control service,4,140,0.00,0.01,0.18,0.00,https://www.jimspestcontrol.com.au/spider-pest-control,"0.07,0.07,0.07,0.07,0.42,0.42,1.00,0.80,0.80,1.00,1.00,1.00",0,12.00,jimspestcontrol.com.au
ant pest control,14,1600,3.31,0.87,0.18,0.19,https://www.jimspestcontrol.com.au/ant-pest-control,"0.54,0.41,0.66,0.54,0.54,0.20,0.79,0.79,0.79,1.00,0.79,0.79",0,35.00,jimspestcontrol.com.au
pest control dianella,3,110,4.11,0.94,0.18,0.23,https://www.jimspestcontrol.com.au/pest-control-dianella,"0.19,0.11,0.07,0.07,0.07,0.07,0.42,0.42,0.65,1.00,0.80,0.65",1,7.00,jimspestcontrol.com.au
termite and pest control near me,5,170,6.06,0.86,0.18,0.35,https://www.jimspestcontrol.com.au/,"0.02,0.02,0.02,0.02,0.02,0.02,0.11,0.59,1.00,0.09,0.09,0.07",3,45.00,jimspestcontrol.com.au
termite inspection services,5,170,0.00,0.05,0.18,0.00,https://www.jimspestcontrol.com.au/,"0.05,0.05,0.05,0.12,0.07,0.17,1.00,0.82,0.66,0.66,0.66,0.53",0,39.00,jimspestcontrol.com.au
pest control termite inspection,4,260,5.42,0.61,0.13,0.23,https://www.jimspestcontrol.com.au/,"0.35,0.28,0.53,0.53,0.43,0.43,1.00,0.82,0.82,0.82,1.00,0.82",0,42.00,jimspestcontrol.com.au
pest control and termite inspection,4,170,5.42,0.61,0.13,0.23,https://www.jimspestcontrol.com.au/,"0.15,0.15,0.23,0.36,0.29,0.23,0.19,0.23,0.54,0.19,0.15,0.15",0,39.00,jimspestcontrol.com.au
termite exterminator near me,2,110,5.27,0.86,0.13,0.22,https://www.jimspestcontrol.com.au/,"0.52,0.66,0.66,0.80,0.52,0.23,0.42,0.42,0.52,0.42,0.66,0.42",3,49.00,jimspestcontrol.com.au
pest control new south wales,3,90,3.09,0.55,0.13,0.13,https://www.jimspestcontrol.com.au/,"1.00,0.78,0.64,1.00,0.78,0.50,0.35,0.50,0.35,0.50,0.50,0.64",1,41.00,jimspestcontrol.com.au
bee and pest control,4,140,3.61,0.58,0.13,0.14,https://www.jimspestcontrol.com.au/bee-pest-control,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.35,1.00,0.66,0.23,0.28",0,17.00,jimspestcontrol.com.au
exterminating bed bugs,7,260,3.21,0.68,0.13,0.13,https://www.jimspestcontrol.com.au/bed-bug-pest-control,"0.00,0.30,0.24,0.01,0.00,0.00,0.00,0.01,0.24,0.05,1.00,0.45","1,3",28.00,jimspestcontrol.com.au
rodent control inspection,4,110,3.90,0.50,0.13,0.16,https://www.jimspestcontrol.com.au/,"0.21,0.28,0.34,0.28,0.81,1.00,0.15,0.15,0.21,0.43,0.34,0.28",1,21.00,jimspestcontrol.com.au
jim's pest control near me,1,50,3.45,0.61,0.13,0.14,https://www.jimspestcontrol.com.au/,"0.63,0.63,0.45,0.36,0.36,0.18,0.27,0.36,0.45,0.45,0.63,0.45",3,28.00,jimspestcontrol.com.au
jims termite and pest control,1,50,2.38,0.45,0.13,0.10,https://www.jimspestcontrol.com.au/,"0.23,0.17,0.17,0.11,0.17,0.11,0.52,0.17,0.23,1.00,0.29,0.17",0,14.00,jimspestcontrol.com.au
spider pest control near me,9,260,3.96,0.92,0.13,0.16,https://www.jimspestcontrol.com.au/spider-pest-control,"0.54,0.29,0.23,0.15,0.09,0.05,0.54,0.54,0.44,0.44,0.36,0.36",3,26.00,jimspestcontrol.com.au
jims pest control franchise,4,50,1.52,0.51,0.13,0.05,https://www.jimspestcontrol.com.au/become-a-pest-control-franchisee,"0.50,0.50,0.64,0.35,0.35,0.21,0.50,0.28,0.35,0.50,0.35,0.28",0,2.00,jimspestcontrol.com.au
possum removal tralee,5,110,0.00,0.00,0.13,0.00,https://www.jimspestcontrol.com.au/possum-control-services,"0.41,0.52,0.64,0.64,1.00",1,6.00,jimspestcontrol.com.au
pest control exterminators near me,15,2400,4.32,0.72,0.13,0.17,https://www.jimspestcontrol.com.au/,"0.19,0.24,0.07,0.54,0.02,0.01,0.00,0.16,0.01,0.00,1.00,0.81",3,16.00,jimspestcontrol.com.au
pest control minchinbury,3,110,4.11,0.25,0.13,0.17,https://www.jimspestcontrol.com.au/pest-control-minchinbury,"0.09,0.52,0.52,0.52,0.09,0.09,0.80,0.52,0.66,1.00,0.80,1.00",0,8.00,jimspestcontrol.com.au
termites near me,3,50,7.12,0.31,0.13,0.31,https://www.jimspestcontrol.com.au/,"0.11,0.07,0.03,0.00,0.11,0.11,0.19,0.15,0.53,0.42,0.19,0.26","1,3",45.00,jimspestcontrol.com.au
possum removal minchinbury,4,110,0.00,0.00,0.09,0.00,https://www.jimspestcontrol.com.au/possum-control-services,"0.05,0.52,0.52,1.00,1.00",1,0.0,jimspestcontrol.com.au
local pest control near me,7,210,3.55,0.92,0.09,0.10,https://www.jimspestcontrol.com.au/,"0.66,0.23,0.19,1.00,0.19,0.15,0.29,0.19,0.29,0.19,0.19,0.15",3,52.00,jimspestcontrol.com.au
possum removal jandabup,6,70,0.00,0.00,0.09,0.00,https://www.jimspestcontrol.com.au/possum-control-services,1.00,1,5.00,jimspestcontrol.com.au
pest control flagstaff hill,4,90,4.88,0.98,0.09,0.13,https://www.jimspestcontrol.com.au/pest-control-flagstaff-hill,"0.14,0.78,0.78,0.78,0.14,0.14,0.78,0.78,1.00,1.00,0.78,1.00",0,7.00,jimspestcontrol.com.au
bed bug heat extermination,3,70,1.74,0.54,0.09,0.04,https://www.jimspestcontrol.com.au/bed-bug-pest-control,"0.23,0.23,0.23,0.19,0.09,0.23,0.19,0.09,0.33,0.52,0.42,1.00",0,25.00,jimspestcontrol.com.au
local exterminators near me,7,170,3.55,0.92,0.09,0.10,https://www.jimspestcontrol.com.au/,"0.28,0.28,0.23,1.00,0.18,0.18,0.11,0.08,0.28,0.18,0.18,0.11",3,48.00,jimspestcontrol.com.au
jim's pest control,15,720,2.75,0.60,0.09,0.07,https://www.jimspestcontrol.com.au/pest-control-gawler,"0.76,0.67,0.76,0.55,0.45,0.36,0.36,0.36,0.55,0.76,0.67,0.67",1,28.00,jimspestcontrol.com.au
pest fumigation perth,27,2900,3.60,0.81,0.09,0.10,https://www.jimspestcontrol.com.au/,"1.00,0.43,1.00,1.00,1.00,0.54,0.04,0.36,1.00,0.54,0.54,0.81",0,50.00,jimspestcontrol.com.au
wasp control services,4,70,4.52,0.19,0.09,0.13,https://www.jimspestcontrol.com.au/pest-control-wasp-removal,"0.11,0.11,0.11,0.64,0.64,0.64,1.00,0.11,0.17,0.23,0.23,0.29",0,7.00,jimspestcontrol.com.au
pesticide service,3,70,4.09,0.59,0.09,0.11,https://www.jimspestcontrol.com.au/,"1.00,1.00,0.81,0.18,0.63,0.81,0.45,0.63,0.63,0.45,0.63,0.63",0,45.00,jimspestcontrol.com.au
pest control for fleas,7,170,3.40,0.85,0.09,0.08,https://www.jimspestcontrol.com.au/flea-pest-control,"0.81,0.66,0.14,0.22,0.14,0.04,0.29,0.35,0.43,0.18,0.43,0.14",1,17.00,jimspestcontrol.com.au
possum removal edmondson park,4,50,0.00,0.00,0.09,0.00,https://www.jimspestcontrol.com.au/possum-control-services,"0.00,0.00,0.00,0.00,0.05,0.52,0.64,1.00,1.00",1,0.0,jimspestcontrol.com.au
commercial ant control,9,210,0.00,0.33,0.09,0.00,https://www.jimspestcontrol.com.au/ant-pest-control,"0.04,0.04,0.04,0.04,0.04,0.04,1.00,1.00,0.81,0.81,0.81,0.81","0,1",17.00,jimspestcontrol.com.au
wasp control,8,480,3.94,0.85,0.09,0.10,https://www.jimspestcontrol.com.au/pest-control-wasp-removal,"0.26,0.21,0.26,0.26,0.21,0.14,1.00,1.00,0.88,0.59,0.59,0.72","0,1",17.00,jimspestcontrol.com.au
pest control north manly,5,90,5.71,0.70,0.09,0.16,https://www.jimspestcontrol.com.au/pest-control-north-manly,"0.00,0.19,0.00,0.23,0.04,0.04,1.00,0.80,0.80,1.00,0.80,0.66",0,5.00,jimspestcontrol.com.au
bird removal,9,170,3.99,0.82,0.09,0.10,https://www.jimspestcontrol.com.au/bird-pest-control,"0.14,0.08,0.08,0.10,0.08,0.06,0.81,1.00,0.66,0.43,0.43,0.43",0,33.00,jimspestcontrol.com.au
possum removal wahroonga,8,110,2.06,0.90,0.09,0.05,https://www.jimspestcontrol.com.au/possum-control-services,"0.00,0.03,0.00,0.03,0.00,0.00,0.53,0.53,0.65,0.81,1.00,1.00",0,0.0,jimspestcontrol.com.au
commercial pest control near me,2,110,6.27,0.17,0.09,0.17,https://www.jimspestcontrol.com.au/,"0.07,0.07,0.07,0.11,0.11,0.53,0.42,0.42,1.00,1.00,0.80,0.42",3,44.00,jimspestcontrol.com.au
bed bug inspection,6,210,3.98,0.08,0.09,0.10,https://www.jimspestcontrol.com.au/bed-bug-pest-control,"0.06,0.11,0.08,0.15,0.08,0.06,0.44,0.54,0.35,0.54,0.66,1.00",1,25.00,jimspestcontrol.com.au
flea control services,3,70,2.23,0.27,0.09,0.05,https://www.jimspestcontrol.com.au/flea-pest-control,"0.11,0.11,0.11,0.11,0.11,0.11,1.00,1.00,0.82,0.41,0.17,0.41",0,15.00,jimspestcontrol.com.au
