Keyword,Search Volume,CPC,Competition,Number of Results,Trends,Intent,Keyword Difficulty Index,_query
ant control westminster,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,ant control westminster
are redbacks dangerous,50,0,0.33,0,"0.18,0.18,0.27,0.18,0.18,0.18,0.27,0.36,0.63,0.45,1.00,1.00",,0,are redbacks dangerous
are termites dangerous,30,0.49,0.33,0,"0.60,0.40,0.60,0.40,0.40,0.40,0.40,0.40,0.60,1.00,1.00,0.60",,0,are termites dangerous
as 3660.2,90,0,0.06,6440,"0.17,0.23,0.17,0.29,0.23,0.64,1.00,0.64,0.64,0.64,0.82,0.64",1,10,as 3660.2
as 4349.3,30,0,0.33,0,"0.33,0.33,0.33,0.44,0.44,0.33,0.44,0.33,0.33,0.55,0.33,0.33",,0,as 4349.3
bed bug treatment,1600,1.57,1,229,"0.36,0.36,0.36,0.27,0.20,0.36,0.27,0.36,0.66,0.80,0.66,1.00","1,0",43,bed bug treatment
bed bug treatment near me,260,4.8,0.24,35400000,"0.02,0.01,0.01,0.30,0.24,0.04,0.03,0.02,0.02,0.04,0.04,0.01","1,3",35,bed bug treatment near me
bed bug treatment perth,110,3.93,0.93,200,"0.15,0.19,0.15,0.19,0.26,1.00,1.00,0.80,0.80,0.80,0.80,1.00",0,17,bed bug treatment perth
bed bug treatment wa,10,0,0,0,"1.00,1.00",,0,bed bug treatment wa
bee removal,590,3.23,0.73,50400000,"0.16,0.16,0.16,0.08,0.05,0.30,0.36,0.41,0.54,0.36,0.36,0.30",0,14,bee removal
bee removal near me,390,2.93,0.72,62700000,"0.20,0.10,0.06,0.05,0.05,0.20,0.10,0.45,0.81,0.36,0.30,0.10",3,10,bee removal near me
bee removal perth,480,2.11,0.74,910000,"0.13,0.16,0.20,0.16,0.13,0.36,0.36,0.55,1.00,0.67,0.45,0.45",0,27,bee removal perth
bee removal wa,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,bee removal wa
best termite treatment australia,20,2.28,0.99,0,"0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",,0,best termite treatment australia
coastal brown ant,390,1.12,0.01,9950000,"0.25,0.31,0.25,0.16,0.13,0.13,0.13,0.16,0.20,0.25,0.25,0.25","1,3",13,coastal brown ant
cockroach control,1600,2.92,0.4,230,"0.16,0.16,0.20,0.16,0.16,0.82,0.82,0.82,0.82,0.82,0.82,1.00",1,25,cockroach control
cockroach control beldon,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,cockroach control beldon
cockroach control duncraig,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,cockroach control duncraig
cockroach control fremantle,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.66,0.00,0.00",,0,cockroach control fremantle
cockroach control joondalup,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,cockroach control joondalup
cockroach control marmion,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,cockroach control marmion
cockroach control near me,210,4.79,0.92,17300000,"0.66,1.00,0.05,1.00,0.28,0.11,0.08,0.23,0.35,0.15,0.18,0.23",3,44,cockroach control near me
cockroach control north fremantle,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,cockroach control north fremantle
cockroach control padbury,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,cockroach control padbury
cockroach control perth,390,3.78,0.22,172,"0.23,0.19,0.15,0.23,0.19,0.81,0.81,0.81,1.00,1.00,0.81,1.00",1,12,cockroach control perth
cockroach control scarborough,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00",,0,cockroach control scarborough
cockroach control sorrento,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,cockroach control sorrento
cockroach control stirling,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,cockroach control stirling
cockroach control trigg,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,cockroach control trigg
cockroach control wa,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,1.00,0.50",,0,cockroach control wa
cockroach control watermans bay,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,cockroach control watermans bay
cockroach control yanchep,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,cockroach control yanchep
diy termite treatment,170,0.57,1,2250000,"0.65,0.43,0.43,0.43,0.34,0.65,0.53,0.53,0.65,0.53,0.53,0.53",1,3,diy termite treatment
flea treatment,1600,1.41,1,0,"0.44,0.52,0.44,0.36,0.24,0.52,0.44,0.44,0.52,0.52,0.52,0.66","1,0",31,flea treatment
flea treatment near me,50,3.96,0.98,201,"0.04,0.14,0.04,0.66,1.00,1.00,0.09,0.09,0.09,0.04,0.04,0.04",3,23,flea treatment near me
flea treatment perth,140,3.46,0.74,256000,"0.42,0.34,0.26,0.26,0.26,1.00,0.80,0.80,0.65,0.65,0.65,0.53",0,11,flea treatment perth
flea treatment wa,10,0,0,0,"1.00,1.00,1.00",,0,flea treatment wa
how long does pest control last,320,0,0.02,186000000,"0.13,0.11,0.08,0.05,0.02,0.20,0.25,0.25,0.37,0.31,0.25,0.25",1,1,how long does pest control last
how much does pest control cost,1300,1.48,0.59,125,"0.52,0.52,0.52,0.25,0.11,0.68,0.68,0.84,1.00,1.00,1.00,1.00",1,8,how much does pest control cost
how much does termite treatment cost,260,1.36,0.46,0,"0.44,0.54,0.44,0.44,0.18,0.44,0.44,1.00,0.44,0.66,0.35,0.44",1,4,how much does termite treatment cost
how often should you spray for pests,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,how often should you spray for pests
how to get rid of ants in kitchen,590,0.43,0.9,19300000,"1.00,0.81,0.20,0.13,0.20,0.13,0.30,0.24,0.24,0.30,0.55,1.00",1,30,how to get rid of ants in kitchen
how to get rid of cockroaches,2900,1.15,1,13800000,"1.00,1.00,0.66,0.44,0.29,0.24,0.24,0.29,0.53,0.66,0.66,0.81",1,12,how to get rid of cockroaches
millipede control,140,3.57,0.52,0,"0.03,0.08,0.10,0.06,0.05,0.16,0.16,0.24,0.16,0.16,0.10,0.10",1,6,millipede control
millipede control near me,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,millipede control near me
millipede control perth,10,0,0.71,0,"0.00,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.66,0.66,0.66,0.00",,0,millipede control perth
mosquito control,590,1.64,0.98,93100000,"0.32,0.39,0.32,0.32,0.32,0.72,0.88,0.88,0.59,1.00,0.88,0.59",0,29,mosquito control
mosquito control near me,30,0,0.33,0,"0.33,0.55,0.77,0.77,0.77,0.33,0.22,0.22,0.22,0.22,0.22,0.22",,0,mosquito control near me
mosquito control perth,260,1.7,0.93,223,"0.22,0.22,0.22,0.22,0.22,1.00,0.81,0.81,1.00,1.00,1.00,1.00",1,11,mosquito control perth
mouse control,390,3.18,0.86,426000000,"0.54,0.54,0.44,0.66,0.54,0.81,0.81,0.81,1.00,0.81,0.81,0.66",0,21,mouse control
mouse control near me,210,4.11,0.89,369000000,"0.19,0.15,0.15,0.09,0.09,0.23,0.23,0.44,1.00,1.00,0.09,0.06",3,14,mouse control near me
mouse control perth,90,3.09,0.26,0,"0.09,0.09,0.09,0.09,0.09,0.52,0.52,0.52,1.00,0.80,0.80,0.80",0,16,mouse control perth
pest control,18100,3.81,0.71,294000000,"0.66,0.81,0.54,0.36,0.36,0.44,0.54,0.66,0.66,0.81,0.81,0.81",0,59,pest control
pest control alkimos,70,3.6,0.92,118,"0.29,0.17,0.11,0.11,0.11,0.17,0.11,0.64,0.82,1.00,0.64,0.64",0,5,pest control alkimos
pest control balcatta,110,3.31,0.5,98,"0.52,0.42,0.42,0.42,0.42,0.52,0.52,0.52,1.00,1.00,1.00,1.00",0,6,pest control balcatta
pest control beldon,10,7.45,1,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,1.00",,0,pest control beldon
pest control burns beach,10,0,0.93,0,"0.66,0.00,0.00,0.66,0.00,0.66,0.00,0.66,0.66,0.00,0.66,0.66",,0,pest control burns beach
pest control butler,50,2.48,0.99,0,"0.27,0.18,0.18,0.27,0.18,0.18,0.27,1.00,0.63,0.63,0.63,0.81",,0,pest control butler
pest control carine,20,0,1,0,"1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",,0,pest control carine
pest control clarkson,50,4.18,0.67,0,"0.11,0.17,0.17,0.11,0.11,0.41,0.11,0.64,0.64,0.52,0.41,0.52",0,6,pest control clarkson
pest control connolly,0,4.87,0.57,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,pest control connolly
pest control craigie,20,0,0,0,"0.14,0.00,0.14,0.14,0.14,0.00,0.14,0.14,0.14,0.14,0.00,0.14",,0,pest control craigie
pest control currambine,20,0,0.93,0,"0.11,0.11,0.11,0.11,0.00,0.11,0.11,0.00,0.00,0.11,0.11,0.11",,0,pest control currambine
pest control doubleview,20,3.3,1,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.00,0.00,0.66,0.66,0.66,0.66",,0,pest control doubleview
pest control duncraig,20,2.88,0.99,0,"0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22",,0,pest control duncraig
pest control edgewater,20,0,0.66,0,"0.66,0.66,0.66,0.66,0.66,0.00,0.00,0.00,0.66,0.66,0.66,0.66",,0,pest control edgewater
pest control fremantle,140,2.43,0.51,261000,"0.35,0.35,0.28,0.28,0.23,0.53,0.43,0.43,0.35,0.35,0.43,0.66",1,6,pest control fremantle
pest control girrawheen,20,0,0.64,0,"0.66,0.66,0.66,0.66,0.66,0.00,0.66,0.66,0.66,0.66,0.66,0.66",,0,pest control girrawheen
pest control greenwood,70,4.76,0.8,0,"0.63,0.63,0.63,0.63,0.63,0.63,0.63,0.63,1.00,0.81,1.00,0.81",0,0,pest control greenwood
pest control hamersley,10,0,0.95,0,"0.66,0.66,0.00,0.00,0.00,0.66,0.00,0.00,0.66,0.66,0.66,0.66",,0,pest control hamersley
pest control heathridge,20,0,1,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,pest control heathridge
pest control hillarys,90,3.11,0.98,16000,"0.52,0.52,0.41,0.41,0.41,0.41,0.41,0.52,0.82,0.82,0.82,1.00",0,7,pest control hillarys
pest control iluka,20,2.61,0.38,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,pest control iluka
pest control innaloo,20,4.29,1,0,"0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50",,0,pest control innaloo
pest control joondalup,390,4.17,0.72,137000,"0.54,0.44,0.35,0.44,0.23,0.81,0.81,0.81,1.00,1.00,1.00,1.00",0,15,pest control joondalup
pest control joondalup perth,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,pest control joondalup perth
pest control kallaroo,20,0,0,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.00,0.66,0.66,0.66,0.00,0.66",,0,pest control kallaroo
pest control karrinyup,20,3.66,0.99,0,"0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40",,0,pest control karrinyup
pest control kingsley,20,4.62,0.32,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,pest control kingsley
pest control kinross,20,7.55,0.99,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,pest control kinross
pest control marangaroo,90,5.2,0.95,105,"0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.52,0.64,0.82,1.00,1.00",0,0,pest control marangaroo
pest control marmion,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,pest control marmion
pest control mindarie,40,2.54,0.99,0,"0.45,0.45,0.45,0.18,0.18,0.18,0.18,1.00,0.18,0.18,0.27,0.45",,0,pest control mindarie
pest control mirrabooka,20,0,0.71,0,"0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50",,0,pest control mirrabooka
pest control mullaloo,20,0,1,0,"0.66,0.66,0.66,0.66,0.66,0.00,0.66,0.66,0.66,0.66,0.66,0.66",,0,pest control mullaloo
pest control near me,12100,4.32,0.72,183000000,"1.00,1.00,0.81,0.81,0.81,0.54,0.44,0.54,0.54,0.66,0.66,0.66","1,3",44,pest control near me
pest control north beach,0,6.89,0.81,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,pest control north beach
pest control north fremantle,10,0,0.71,0,"0.66,0.00,0.00,0.00,0.00,0.00,0.66,0.66,0.66,0.00,0.66,0.66",,0,pest control north fremantle
pest control ocean reef,20,2.72,0.45,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,pest control ocean reef
pest control padbury,20,3.15,1,0,"0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09",,0,pest control padbury
pest control perth,2900,3.6,0.81,108,"0.81,0.65,0.65,0.54,0.54,0.54,0.54,0.65,0.65,1.00,1.00,1.00",0,50,pest control perth
pest control quinns rocks,20,4.43,0.86,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,pest control quinns rocks
pest control scarborough,140,2.7,0.52,109,"0.34,0.34,0.34,0.06,0.43,0.43,0.43,0.81,0.65,0.65,0.65,1.00",2,18,pest control scarborough
pest control scarborough perth,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,pest control scarborough perth
pest control sorrento,260,3.88,0.95,303000,"0.18,0.28,0.18,0.03,0.05,0.54,0.66,1.00,0.66,0.66,0.66,0.66",0,8,pest control sorrento
pest control stirling,70,3.33,0.57,1070000,"0.64,0.11,0.64,0.11,0.11,0.29,0.23,0.64,0.64,0.64,0.64,0.82",1,0,pest control stirling
pest control trigg,0,4.87,0.57,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,pest control trigg
pest control tuart hill,20,0,0.38,0,"0.66,0.66,0.66,0.66,0.00,0.66,0.00,0.66,0.66,0.66,0.66,0.66",,0,pest control tuart hill
pest control wa,110,3.23,0.48,20800000,"0.41,0.52,0.52,0.52,0.52,0.64,0.64,0.82,0.82,1.00,1.00,1.00",0,42,pest control wa
pest control wanneroo,110,3.48,0.99,126,"0.34,0.26,0.26,0.19,0.19,0.65,0.53,0.53,0.65,0.65,0.80,1.00",0,6,pest control wanneroo
pest control warwick,110,2.55,0.62,127,"0.23,0.23,0.12,0.09,0.06,0.12,0.15,0.19,0.19,0.15,0.12,0.15","1,0",4,pest control warwick
pest control watermans bay,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,pest control watermans bay
pest control westminster,20,4.93,0.99,0,"0.66,0.00,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,pest control westminster
pest control woodvale,30,2.49,0.99,0,"0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.57,1.00",,0,pest control woodvale
pest control yanchep,50,2.92,0.94,10500,"0.36,0.36,0.36,0.18,0.18,0.36,0.27,1.00,0.81,0.81,0.81,1.00",0,4,pest control yanchep
pest management technician licence wa,20,0,0.33,0,"0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66",,0,pest management technician licence wa
pre-construction termite barrier,90,6.03,0.86,1130000,"0.09,0.52,0.52,0.14,0.09,1.00,0.80,0.66,0.52,0.52,0.80,0.66",1,1,pre-construction termite barrier
rat control,1000,3.12,0.91,410000000,"0.20,0.25,0.68,0.46,0.37,0.84,0.84,0.68,0.68,0.84,0.52,1.00",1,36,rat control
rat control joondalup,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,rat control joondalup
rat control kinross,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,rat control kinross
rat control near me,390,4.47,0.99,204,"0.20,0.13,0.10,0.16,0.20,0.24,0.10,0.76,1.00,0.67,0.03,0.13","1,3",22,rat control near me
rat control perth,260,3.01,0.93,0,"0.22,0.22,0.35,0.43,0.29,1.00,1.00,0.81,0.81,0.81,0.81,1.00",0,25,rat control perth
rat control scarborough,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,rat control scarborough
rat control stirling,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,rat control stirling
rat control warwick,0,0,0.71,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,rat control warwick
rat control westminster,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,rat control westminster
redback spider control,40,2.43,0.33,0,"0.18,0.18,0.18,0.18,0.18,0.18,0.00,0.18,0.18,0.18,1.00,1.00",,0,redback spider control
rodent control,1900,3.72,0.89,58200000,"0.34,0.55,0.55,0.82,0.55,1.00,1.00,0.82,0.65,0.65,0.65,1.00",1,31,rodent control
rodent control near me,480,3.75,0.9,54500000,"0.30,0.20,0.16,0.16,0.16,0.30,0.30,0.76,1.00,0.76,0.10,0.10",3,49,rodent control near me
rodent control perth,1300,3.6,0.81,730000,"0.36,0.43,0.36,0.43,0.08,0.22,0.20,0.20,0.20,0.16,0.16,0.20",0,26,rodent control perth
rodent control wa,20,0,0,0,"0.33,0.33,1.00",,0,rodent control wa
signs of termites in house,320,0.72,0.12,34200000,"0.66,0.66,0.81,0.66,0.66,0.28,0.15,0.54,0.28,0.35,0.66,0.54",1,25,signs of termites in house
silverfish treatment,260,1.67,0.96,2390000,"0.15,0.18,0.15,0.15,0.15,0.81,0.81,1.00,0.54,0.54,0.81,0.81",1,23,silverfish treatment
silverfish treatment perth,50,0,0,0,"0.42,0.42,0.42,0.57,0.42,1.00,1.00,1.00,0.71,0.71,0.71,0.71",,0,silverfish treatment perth
spider control,1300,2.9,0.57,203,"0.16,0.16,0.13,0.16,0.10,0.79,0.79,1.00,1.00,0.66,0.79,0.79",0,20,spider control
spider control duncraig,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,spider control duncraig
spider control joondalup,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,spider control joondalup
spider control marangaroo,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,spider control marangaroo
spider control near me,50,4.05,0.85,0,"0.78,0.35,0.14,0.14,0.14,0.21,0.28,0.35,0.50,0.78,0.35,0.35",3,16,spider control near me
spider control north beach,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,spider control north beach
spider control perth,320,5.1,0.58,612000,"0.15,0.23,0.19,0.19,0.15,0.81,0.66,0.81,1.00,1.00,0.81,1.00",0,13,spider control perth
spider control wa,10,0,0,0,"1.00,1.00,1.00",,0,spider control wa
spider control westminster,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,spider control westminster
termite control,2400,4.07,0.25,22800000,"0.27,0.36,0.27,0.52,0.20,0.80,1.00,1.00,1.00,1.00,1.00,1.00",1,53,termite control
termite control butler,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite control butler
termite control edgewater,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite control edgewater
termite control fremantle,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite control fremantle
termite control greenwood,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite control greenwood
termite control joondalup,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite control joondalup
termite control near me,320,5.06,0.72,148,"0.08,0.24,0.16,0.36,0.45,0.30,0.30,0.20,0.16,0.16,0.20,0.30","1,3",39,termite control near me
termite control perth,260,4.39,0.55,0,"0.23,0.18,0.18,0.35,0.18,1.00,0.81,0.81,0.66,0.66,0.54,0.66",0,41,termite control perth
termite control scarborough,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite control scarborough
termite control sorrento,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",,0,termite control sorrento
termite control wanneroo,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite control wanneroo
termite control warwick,0,3.05,0.46,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite control warwick
termite control westminster,0,0,0.33,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00",,0,termite control westminster
termite inspection,3600,5.37,0.28,191000000,"0.44,0.44,0.35,0.35,0.44,0.81,1.00,1.00,1.00,1.00,1.00,1.00",1,23,termite inspection
termite inspection balcatta,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite inspection balcatta
termite inspection carine,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite inspection carine
termite inspection duncraig,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite inspection duncraig
termite inspection edgewater,0,0,0,0,"0.00,0.00,0.00,0.00",,0,termite inspection edgewater
termite inspection fremantle,20,0,1,0,"0.22,0.22,0.22,0.22,0.22,0.22,0.00,0.22,0.22,0.22,0.22,0.22",,0,termite inspection fremantle
termite inspection girrawheen,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite inspection girrawheen
termite inspection joondalup,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite inspection joondalup
termite inspection karrinyup,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite inspection karrinyup
termite inspection near me,390,5.42,0.62,8560000,"0.19,0.29,0.36,0.23,0.29,1.00,0.81,0.81,0.44,0.67,0.44,0.54",3,19,termite inspection near me
termite inspection perth,480,6.2,0.72,257000,"0.29,0.29,0.29,0.36,0.23,0.81,1.00,1.00,1.00,1.00,1.00,1.00",0,32,termite inspection perth
termite inspection sorrento,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite inspection sorrento
termite inspection wa,20,0,0.04,0,"0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",,0,termite inspection wa
termite inspection warwick,30,0,0.33,0,"0.60,0.60,0.40,0.60,0.40,0.60,0.60,0.40,0.60,0.40,0.60,1.00",,0,termite inspection warwick
termite inspection watermans bay,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite inspection watermans bay
termite inspection westminster,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite inspection westminster
termite treatment,5400,3.83,1,205,"0.35,0.44,0.44,0.54,0.44,0.81,0.81,0.81,1.00,1.00,1.00,1.00",0,40,termite treatment
termite treatment butler,0,0,0,0,"0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite treatment butler
termite treatment fremantle,30,0,0,0,"0.02,0.02,0.02,0.02,0.02,0.06,0.08,0.08,0.10,0.08,0.08,0.10",,0,termite treatment fremantle
termite treatment girrawheen,0,0,0,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0,termite treatment girrawheen
